image_idx,entropy_mae,entropy_max_diff,entropy_rmse,edge_mae,edge_max_diff,edge_rmse,entropy_mae_nostrip,entropy_max_diff_nostrip,edge_mae_nostrip,edge_max_diff_nostrip,depth_mae,pct_pixels_differ,n_pixels,depth_diff_histogram,mean_cover_depth,mean_stego_depth,depth_mae_noise_0.001,pct_differ_noise_0.001,depth_mae_noise_0.005,pct_differ_noise_0.005,depth_mae_noise_0.01,pct_differ_noise_0.01,bpp
13,0.0,0.0,0.0,0.0,0.0,0.0,0.006015030575429724,0.31059757038517555,0.00012782579818949017,0.0038683460446823706,0.0,0.0,65536,{0: 65536},1.3920440673828125,1.3920440673828125,0.0077056884765625,0.77056884765625,0.0134735107421875,1.34735107421875,0.0205230712890625,2.05230712890625,0.2
14,0.0,0.0,0.0,0.0,0.0,0.0,0.007147913386611237,0.18129610953323017,0.0001280775342053555,0.0051726743597275415,0.0,0.0,65536,{0: 65536},1.353302001953125,1.353302001953125,0.0095367431640625,0.95367431640625,0.01409912109375,1.409912109375,0.020416259765625,2.0416259765625,0.2
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0083194442463601,0.23226351035421156,0.00022066300446024593,0.006583451095868057,0.0,0.0,65536,{0: 65536},1.011810302734375,1.011810302734375,0.0025482177734375,0.25482177734375,0.004638671875,0.4638671875,0.006134033203125,0.6134033203125,0.2
16,0.0,0.0,0.0,0.0,0.0,0.0,0.00626216315533912,0.23574732621006866,0.0001242379041302482,0.004651584707743864,0.0,0.0,65536,{0: 65536},1.4952239990234375,1.4952239990234375,0.0068206787109375,0.68206787109375,0.0121612548828125,1.21612548828125,0.0186309814453125,1.86309814453125,0.2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.006289866121069029,0.17749043043252133,0.00010399129704791205,0.0035379438534141328,0.0,0.0,65536,{0: 65536},1.270172119140625,1.270172119140625,0.007476806640625,0.7476806640625,0.0118408203125,1.18408203125,0.01806640625,1.806640625,0.2
18,0.0,0.0,0.0,0.0,0.0,0.0,0.007339442824797756,0.24489795918367285,0.00010714455052677829,0.003996830774715521,0.0,0.0,65536,{0: 65536},1.354736328125,1.354736328125,0.0060882568359375,0.60882568359375,0.010894775390625,1.0894775390625,0.0172119140625,1.72119140625,0.2
19,0.0,0.0,0.0,0.0,0.0,0.0,0.006651338106126974,0.20006651246851703,0.00010033810021168277,0.003055667362960921,0.0,0.0,65536,{0: 65536},1.265838623046875,1.265838623046875,0.00531005859375,0.531005859375,0.01080322265625,1.080322265625,0.016448974609375,1.6448974609375,0.2
20,0.0,0.0,0.0,0.0,0.0,0.0,0.006599173983590017,0.225654342775075,0.00010175997912769517,0.0036921702284301583,0.0,0.0,65536,{0: 65536},1.24371337890625,1.24371337890625,0.009552001953125,0.9552001953125,0.014434814453125,1.4434814453125,0.0185699462890625,1.85699462890625,0.2
21,0.0,0.0,0.0,0.0,0.0,0.0,0.00639160951192562,0.23147416337322113,0.00010367568793889158,0.004235003392444944,0.0,0.0,65536,{0: 65536},1.225433349609375,1.225433349609375,0.005462646484375,0.5462646484375,0.0092010498046875,0.92010498046875,0.01312255859375,1.312255859375,0.2
22,0.0,0.0,0.0,0.0,0.0,0.0,0.005704302213223717,0.2119037626584177,0.0001658686290816801,0.006326156632833757,0.0,0.0,65536,{0: 65536},1.188140869140625,1.188140869140625,0.007659912109375,0.7659912109375,0.0133209228515625,1.33209228515625,0.0193939208984375,1.93939208984375,0.2
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0071079479635393,0.17749043043251977,0.00010989801975291187,0.0038130438677916366,0.0,0.0,65536,{0: 65536},1.204376220703125,1.204376220703125,0.0074462890625,0.74462890625,0.0146026611328125,1.46026611328125,0.020904541015625,2.0904541015625,0.2
24,0.0,0.0,0.0,0.0,0.0,0.0,0.00866719449276989,0.2704091579437615,0.00011411268818397974,0.0033078541548654805,0.0,0.0,65536,{0: 65536},1.213134765625,1.213134765625,0.0042572021484375,0.42572021484375,0.0095062255859375,0.95062255859375,0.0152740478515625,1.52740478515625,0.2
25,0.0,0.0,0.0,0.0,0.0,0.0,0.00837226241504265,0.2274196622328919,0.0001852533098291511,0.005691656994612909,0.0,0.0,65536,{0: 65536},1.2048187255859375,1.2048187255859375,0.006378173828125,0.6378173828125,0.012847900390625,1.2847900390625,0.018707275390625,1.8707275390625,0.2
26,0.0,0.0,0.0,0.0,0.0,0.0,0.00646379068639554,0.16153323846668854,0.00011332895312099157,0.003446616475947753,0.0,0.0,65536,{0: 65536},1.291107177734375,1.291107177734375,0.007293701171875,0.7293701171875,0.0152435302734375,1.52435302734375,0.0223388671875,2.23388671875,0.2
27,0.0,0.0,0.0,0.0,0.0,0.0,0.005868001380716647,0.16904936530923642,0.00016144012337002042,0.004731287569707851,0.0,0.0,65536,{0: 65536},1.291046142578125,1.291046142578125,0.0071868896484375,0.71868896484375,0.0120849609375,1.20849609375,0.015625,1.5625,0.2
28,0.0,0.0,0.0,0.0,0.0,0.0,0.007442306875377859,0.1919145087559766,0.00010894572079290005,0.0032661476516578775,0.0,0.0,65536,{0: 65536},1.3180389404296875,1.3180389404296875,0.00579833984375,0.579833984375,0.01043701171875,1.043701171875,0.0155181884765625,1.55181884765625,0.2
